movie_name,overview,ranking,score,score_num
贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,128,8.5,418161人评价
谍影重重3,像吃了苏打饼一样干脆的电影。,129,8.7,192808人评价
喜宴,中国家庭的喜怒哀乐忍。,130,8.8,151222人评价
东邪西毒,电影诗。,131,8.6,269352人评价
记忆碎片,一个针管引发的血案。,132,8.5,297931人评价
雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,133,8.6,221813人评价
怪兽电力公司,不要给它起名字，起了名字就有感情了。,134,8.6,260215人评价
英雄本色,英雄泪短，兄弟情长。 ,135,8.7,182195人评价
黑天鹅,黑暗之美。,136,8.5,444073人评价
疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,137,8.7,394106人评价
卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,138,8.8,128483人评价
燃情岁月,传奇，不是每个人都可以拥有。,139,8.7,155589人评价
虎口脱险,永远看不腻的喜剧。,140,8.9,113106人评价
小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,141,8.9,128059人评价
7号房的礼物,《我是山姆》的《美丽人生》。,142,8.7,191527人评价
海边的曼彻斯特,我们都有权利不与自己的过去和解。,143,8.6,211965人评价
哈利·波特与死亡圣器(下),10年的完美句点。,144,8.7,292648人评价
傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,145,8.5,324035人评价
恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,146,8.5,303302人评价
荒蛮故事,始于荒诞，止于更荒诞。,147,8.8,154393人评价
完美的世界,坏人的好总是比好人的好来得更感人。,148,9.0,87627人评价
萤火之森,触不到的恋人。,149,8.7,171045人评价
教父3,任何信念的力量，都无法改变命运。,150,8.8,140223人评价
纵横四海,香港浪漫主义警匪动作片的巅峰之作。,151,8.7,158502人评价
魂断蓝桥,中国式内在的美国电影。,152,8.8,136564人评价
猜火车,不可猜的青春迷笛。 ,153,8.5,261115人评价
花样年华,偷情本没有这样美。,154,8.5,263484人评价
玩具总动员3,跨度十五年的欢乐与泪水。,155,8.8,203241人评价
穿越时空的少女,爱上未来的你。 ,156,8.6,196192人评价
二十二,有一些东西不应该被遗忘。,157,8.8,108177人评价
心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,158,8.6,188880人评价
雨中曲,骨灰级歌舞片。,159,9.0,98227人评价
唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,160,8.4,356522人评价
时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,161,8.6,217404人评价
超能陆战队,Balalala~~~,162,8.6,397064人评价
蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,163,8.6,312808人评价
我是山姆,爱并不需要智商 。,164,8.8,111534人评价
人工智能,对爱的执着，可以超越一切。,165,8.6,201902人评价
请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,166,8.8,182361人评价
浪潮,世界离独裁只有五天。,167,8.7,140707人评价
冰川时代,松鼠才是角儿。,168,8.4,287990人评价
朗读者,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,169,8.5,290574人评价
香水,一个单凭体香达到高潮的男人。,170,8.4,292008人评价
罗生门,人生的N种可能性。,171,8.7,133910人评价
血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,172,8.7,339439人评价
爆裂鼓手,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,173,8.6,253995人评价
